|name         |surname   |date_of_birth|
|-------------|----------|-------------|
|Loredana     |Sanna     |1994-07-14   |
|Tosca        |Ricci     |1994-07-10   |
|Yago         |Bianchi   |1994-07-07   |
|Ninfa        |Benedetti |1994-07-05   |
|Enrico       |Riva      |1994-06-28   |
|Kris         |Costa     |1994-06-28   |
|Jacopo       |Ruggiero  |1994-06-28   |
|Nicoletta    |Morelli   |1994-06-23   |
|Dimitri      |Colombo   |1994-06-22   |
|Nicoletta    |Russo     |1994-06-21   |
|Bortolo      |Sartori   |1994-06-20   |
|Demi         |Moretti   |1994-06-19   |
|Donatella    |Cattaneo  |1994-06-18   |
|Ruth         |Benedetti |1994-06-14   |
|Morgana      |Parisi    |1994-06-10   |
|Cristyn      |Sala      |1994-06-09   |
|Gilda        |Barbieri  |1994-05-26   |
|Nayade       |Monti     |1994-05-20   |
|Nicoletta    |Mancini   |1994-05-20   |
|Carlo        |Monti     |1994-05-17   |
|Rosalino     |Ruggiero  |1994-05-15   |
|Ulrico       |Battaglia |1994-05-12   |
|Diamante     |Amato     |1994-05-12   |
|Ian          |Fontana   |1994-05-09   |
|Vienna       |Vitale    |1994-05-09   |
|Siro         |Costa     |1994-05-08   |
|Monia        |Negri     |1994-05-06   |
|Loris        |De Angelis|1994-05-06   |
|Benedetta    |Riva      |1994-05-05   |
|Erminia      |Bianchi   |1994-05-04   |
|Zelida       |Carbone   |1994-05-02   |
|Sue ellen    |Ruggiero  |1994-04-30   |
|Isabel       |Rossetti  |1994-04-27   |
|Alighiero    |Damico    |1994-04-25   |
|Rocco        |Longo     |1994-04-24   |
|Nicoletta    |Barbieri  |1994-04-22   |
|Rebecca      |De Angelis|1994-04-22   |
|Raoul        |Santoro   |1994-04-16   |
|Lino         |Monti     |1994-04-14   |
|Modesto      |Giuliani  |1994-04-11   |
|Piererminio  |Sartori   |1994-04-11   |
|Danny        |Moretti   |1994-04-10   |
|Miriana      |Sorrentino|1994-04-07   |
|Alighieri    |Esposito  |1994-04-02   |
|Quarto       |De rosa   |1994-04-01   |
|Antonino     |De rosa   |1994-03-30   |
|Matilde      |Donati    |1994-03-29   |
|Soriana      |Piras     |1994-03-29   |
|Ruth         |Sartori   |1994-03-25   |
|Vitalba      |Marchetti |1994-03-24   |
|Quarto       |Silvestri |1994-03-23   |
|Costanzo     |Rossetti  |1994-03-23   |
|Diana        |Grasso    |1994-03-20   |
|Caligola     |Grasso    |1994-03-17   |
|Patrizio     |Villa     |1994-03-15   |
|Evita        |Bianco    |1994-03-15   |
|Tolomeo      |Costa     |1994-03-14   |
|Elda         |Martinelli|1994-03-14   |
|Carlo        |Testa     |1994-03-13   |
|Fulvio       |Rizzi     |1994-03-12   |
|Brigitta     |Carbone   |1994-03-09   |
|Felicia      |Martino   |1994-03-08   |
|Giulietta    |Ferraro   |1994-03-06   |
|Benedetta    |D'amico   |1994-03-05   |
|Neri         |Bianco    |1994-03-05   |
|Ferdinando   |Fabbri    |1994-03-04   |
|Modesto      |D'angelo  |1994-02-28   |
|Ione         |Lombardi  |1994-02-28   |
|Alessio      |Rizzo     |1994-02-23   |
|Ivonne       |Parisi    |1994-02-20   |
|Clea         |Mariani   |1994-02-17   |
|Jari         |Donati    |1994-02-15   |
|Akira        |Sorrentino|1994-02-14   |
|Giuliano     |Cattaneo  |1994-02-13   |
|Edvige       |Palumbo   |1994-02-11   |
|Isira        |Milani    |1994-02-05   |
|Costantino   |Guerra    |1994-01-30   |
|Tosca        |D'amico   |1994-01-28   |
|Cleopatra    |De Santis |1994-01-26   |
|Ubaldo       |Rossi     |1994-01-25   |
|Modesto      |Serra     |1994-01-20   |
|Rosalba      |Vitali    |1994-01-17   |
|Trevis       |Fiore     |1994-01-17   |
|Felicia      |Mazza     |1994-01-16   |
|Egisto       |Gallo     |1994-01-16   |
|Marco        |Grassi    |1994-01-16   |
|Artemide     |Fabbri    |1994-01-13   |
|Nick         |Neri      |1994-01-13   |
|Ivonne       |Vitali    |1994-01-10   |
|Mercedes     |Costantini|1994-01-08   |
|Ione         |Lombardi  |1993-12-27   |
|Timothy      |Pellegrino|1993-12-27   |
|Edipo        |Ferraro   |1993-12-26   |
|Matteo       |Donati    |1993-12-26   |
|Anastasio    |Monti     |1993-12-25   |
|Jelena       |Bianco    |1993-12-23   |
|Naomi        |Caputo    |1993-12-20   |
|Ermes        |Negri     |1993-12-17   |
|Pierfrancesco|Farina    |1993-12-16   |
|Luce         |Damico    |1993-12-13   |
|Doriana      |Sorrentino|1993-12-10   |
|Lisa         |Giuliani  |1993-12-07   |
|Matilde      |Conte     |1993-12-04   |
|Ortensia     |Orlando   |1993-12-03   |
|Marzio       |Gentile   |1993-12-03   |
|Folco        |Mariani   |1993-12-02   |
|Laura        |Leone     |1993-11-27   |
|Ortensia     |Grasso    |1993-11-24   |
|Concetta     |Riva      |1993-11-22   |
|Kayla        |Marino    |1993-11-15   |
|Lia          |Valentini |1993-11-11   |
|Elsa         |Fontana   |1993-11-08   |
|Lamberto     |Longo     |1993-10-30   |
|Maruska      |Rossi     |1993-10-29   |
|Davis        |Moretti   |1993-10-28   |
|Demis        |Barone    |1993-10-21   |
|Cleopatra    |Basile    |1993-10-18   |
|Gianriccardo |Conti     |1993-10-17   |
|Morgana      |Martino   |1993-10-10   |
|Osvaldo      |Gentile   |1993-10-09   |
|Violante     |Riva      |1993-10-08   |
|Sue ellen    |Sartori   |1993-10-04   |
|Gastone      |Grassi    |1993-10-03   |
|Radames      |Villa     |1993-10-01   |
|Renzo        |Ricci     |1993-10-01   |
|Jari         |Longo     |1993-09-30   |
|Donatella    |Rinaldi   |1993-09-28   |
|Albino       |Colombo   |1993-09-28   |
|Elsa         |Caputo    |1993-09-22   |
|Emidio       |Montanari |1993-09-22   |
|Gelsomina    |Martini   |1993-09-20   |
|Rita         |Pellegrino|1993-09-19   |
|Ivonne       |Colombo   |1993-09-15   |
|Giorgio      |Orlando   |1993-09-14   |
|Romolo       |Caruso    |1993-09-05   |
|Carmela      |Mancini   |1993-09-03   |
|Demi         |Esposito  |1993-09-01   |
|Piccarda     |Benedetti |1993-08-31   |
|Nicoletta    |Farina    |1993-08-30   |
|Pericle      |Palumbo   |1993-08-27   |
|Fernando     |Montanari |1993-08-25   |
|Diamante     |Neri      |1993-08-23   |
|Concetta     |D'angelo  |1993-08-21   |
|Cleopatra    |Mancini   |1993-08-21   |
|Donatella    |Valentini |1993-08-17   |
|Hector       |Martini   |1993-08-17   |
|Morgana      |Marchetti |1993-08-16   |
|Mirco        |Neri      |1993-08-16   |
|Giancarlo    |Parisi    |1993-08-15   |
|Marino       |Greco     |1993-08-04   |
|Cesidia      |Ricci     |1993-07-31   |
|Ermes        |Colombo   |1993-07-27   |
|Joannes      |Villa     |1993-07-26   |
|Sabino       |Ruggiero  |1993-07-25   |
|Gianriccardo |Vitali    |1993-07-24   |
|Rosalino     |Vitali    |1993-07-20   |
|Mercedes     |Testa     |1993-07-18   |
|Thea         |Piras     |1993-07-15   |
|Vitalba      |Colombo   |1993-07-14   |
|Lia          |Colombo   |1993-07-09   |
|Maika        |Donati    |1993-07-08   |
|Giovanna     |Coppola   |1993-07-05   |
|Ariel        |Santoro   |1993-07-04   |
|Nicoletta    |Pellegrino|1993-07-01   |
|Pericle      |Sartori   |1993-06-29   |
|Rosaria      |Conti     |1993-06-27   |
|Helga        |D'angelo  |1993-06-26   |
|Diana        |Fabbri    |1993-06-26   |
|Mietta       |Gentile   |1993-06-23   |
|Piccarda     |Carbone   |1993-06-22   |
|Edipo        |Giuliani  |1993-06-15   |
|Abramo       |Bianco    |1993-06-09   |
|Assia        |Palmieri  |1993-06-05   |
|Zelida       |Barbieri  |1993-06-05   |
|Clea         |Giuliani  |1993-06-03   |
|Matilde      |Ferrara   |1993-06-02   |
|Matilde      |Bianco    |1993-06-02   |
|Ivano        |Rossetti  |1993-06-01   |
|Rufo         |Costa     |1993-05-31   |
|Penelope     |Monti     |1993-05-30   |
|Loretta      |Costa     |1993-05-29   |
|Jelena       |Longo     |1993-05-24   |
|Antimo       |Villa     |1993-05-22   |
|Antonino     |Ricci     |1993-05-21   |
|Diana        |Vitale    |1993-05-20   |
|Doriana      |Fabbri    |1993-05-16   |
|Ariel        |Marino    |1993-05-14   |
|Egidio       |Orlando   |1993-05-10   |
|Miriana      |Fiore     |1993-05-08   |
|Ermes        |Vitali    |1993-05-08   |
|Priamo       |Ferrari   |1993-05-03   |
|Giuliano     |Ferrari   |1993-05-02   |
|Cristyn      |Marini    |1993-04-30   |
|Giacinto     |Amato     |1993-04-29   |
|Caligola     |D'amico   |1993-04-27   |
|Zaccaria     |Donati    |1993-04-19   |
